Tarih,Algoritma,Tamamlanan,Toplam,SÃ¼re (sn)
2025-05-14 12:19:48,A*,3,5,4.421
2025-05-14 12:19:48,CSP,5,5,0.0
2025-05-14 12:19:48,GA,2,5,0.056
2025-05-14 13:00:35,A*,1,5,4.735
2025-05-14 13:00:35,CSP,0,5,0.0
2025-05-14 13:00:35,GA,3,5,0.032
2025-05-14 13:01:30,A*,2,5,6.322
2025-05-14 13:01:30,CSP,5,5,0.0
2025-05-14 13:01:30,GA,2,5,0.021
2025-05-14 13:05:14,A*,3,5,6.198
2025-05-14 13:05:14,CSP,5,5,0.0
2025-05-14 13:05:14,GA,2,5,0.036
2025-05-14 22:12:17,A*,0,5,6.066
2025-05-14 22:12:17,CSP,5,5,0.013
2025-05-14 22:12:17,GA,1,5,0.026
2025-05-14 22:13:00,A*,1,5,7.719
2025-05-14 22:13:00,CSP,5,5,0.024
2025-05-14 22:13:00,GA,2,5,0.027
2025-05-14 22:13:27,A*,2,5,5.789
2025-05-14 22:13:27,CSP,5,5,0.032
2025-05-14 22:13:27,GA,3,5,0.02
2025-05-14 22:51:10,A*,1,5,2.538
2025-05-14 22:51:10,CSP,5,5,0.014
2025-05-14 22:51:10,GA,3,5,0.031
